General information,,time (s),O2 (%),DPT (Pa),CO (%),CO2 (%),PDM (-),PDC (-),Mass (g),Methane MFM (slpm),APT (kPa),HFM (kW/m2),Cold Trap TC (K),Stack TC (K),Smoke TC (K),Cone Heater TC (K),Spare TC (K),Soot MFM (g/s)
,,900,20.77945162,131.465562,0,0,1.003969,0.994002,4.739886,0.0162,0,0,895.349,372.483,379.992,1063.707,0,0
,,901,20.77967064,132.594103,0,0,1.003858,1.003078,4.787686,0.0145,0,0,901.447,372.414,379.932,1063.669,0,0
,,902,20.78033325,132.164352,0,0,1.003942,0.992226,4.668771,0.0144,0,0,903.653,372.381,379.925,1063.625,0,0
,,903,20.78048295,131.989508,0,0,1.003156,0.996643,4.71732,0.0154,0,0,908.431,372.356,379.881,1063.561,0,0
,,904,20.78048295,131.451215,0,0,1.003576,0.998166,4.696889,0.0153,0,0,918.665,372.338,379.843,1063.547,0,0
,,905,20.78018318,132.606549,0,0,1.003279,0.984977,4.631541,0.0162,0,0,923.867,372.311,379.796,1063.51,0,0
,,906,20.77981917,131.831203,0,0,1.002554,0.997287,4.670976,0.0172,0,0,918.335,372.262,379.793,1063.462,0,0
,,907,20.77945162,132.087196,0,0,1.003087,0.995362,4.634545,0.0147,0,0,924.211,372.268,379.803,1063.488,0,0
,,908,20.78146735,132.598705,0,0,1.003123,0.988953,4.610673,0.0159,0,0,922.161,372.274,379.805,1063.452,0,0
,,909,20.78284303,132.795347,0,0,1.002975,0.997785,4.629009,0.0155,0,0,923.849,372.232,379.77,1063.435,0,0
,,910,20.7824763,131.782994,0,0,1.002417,0.995636,4.606953,0.0136,0,0,917.432,372.262,379.813,1063.429,0,0
,,911,20.78172929,132.05318,0,0,1.002726,0.989733,4.600434,0.0177,0,0,915.448,372.28,379.797,1063.428,0,0
,,912,20.78129408,131.71814,0,0,1.002323,0.996397,4.54144,0.0153,0,0,922.235,372.272,379.802,1063.468,0,0
,,913,20.78151429,132.479698,0,0,1.002725,1.00077,4.565923,0.016,0,0,906.201,372.238,379.751,1063.537,0,0
,,914,20.78248511,131.96673,0,0,1.002136,0.987907,4.549479,0.0167,0,0,909.167,372.195,379.735,1063.597,0,0
,,915,20.78239555,131.868588,0,0,1.002716,0.993314,4.47062,0.0168,0,0,913.667,372.198,379.73,1063.601,0,0
,,916,20.7823266,131.569638,0,0,1.002865,0.998394,4.497158,0.0163,0,0,904.73,372.215,379.739,1063.551,0,0
,,917,20.78144497,132.231984,0,0,1.002974,0.989662,4.501986,0.0133,0,0,912.236,372.213,379.734,1063.554,0,0
,,918,20.78151429,131.798312,0,0,1.002475,0.999845,4.413457,0.0167,0,0,922.052,372.19,379.723,1063.626,0,0
,,919,20.78217689,131.624998,0,0,1.002203,0.997305,4.485555,0.0181,0,0,907.144,372.187,379.719,1063.651,0,0
,,920,20.78262047,131.811793,0,0,1.002007,0.992302,4.425115,0.0165,0,0,913.302,372.175,379.71,1063.668,0,0
,,921,20.78387083,131.550979,0,0,1.002035,0.998256,4.390809,0.018,0,0,905.148,372.184,379.716,1063.686,0,0
,,922,20.78475799,132.411912,0,0,1.002604,0.990493,4.449391,0.0162,0,0,914.597,372.2,379.729,1063.659,0,0
,,923,20.78431994,131.648018,0,0,1.002308,0.990724,4.335057,0.0158,0,0,902.303,372.23,379.761,1063.687,0,0
,,924,20.78387636,131.553858,0,0,1.00284,0.995823,4.327517,0.0167,0,0,908.134,372.2,379.707,1063.749,0,0
,,925,20.78409539,132.124049,0,0,1.002659,0.992748,4.393744,0.014,0,0,904.001,372.184,379.688,1063.779,0,0
,,926,20.78417024,131.595156,0,0,1.001731,0.993251,4.286288,0.0159,0,0,907.899,372.184,379.704,1063.757,0,0
,,927,20.7844653,131.363604,0,0,1.002271,0.998505,4.330304,0.0165,0,0,913.949,372.191,379.738,1063.721,0,0
,,928,20.78395122,131.804748,0,0,1.002709,0.992869,4.331849,0.0143,0,0,917.105,372.228,379.747,1063.674,0,0
,,929,20.78380151,132.019631,0,0,1.0031,0.991347,4.241791,0.0151,0,0,901.995,372.188,379.687,1063.711,0,0
,,930,20.78350173,132.599076,0,0,1.002052,0.998845,4.293005,0.0169,0,0,911.045,372.144,379.652,1063.748,0,0
,,931,20.78403234,132.252516,0,0,1.002121,0.989505,4.209784,0.0168,0,0,906.069,372.105,379.627,1063.761,0,0
,,932,20.78417024,131.659029,0,0,1.002127,0.994511,4.144902,0.0158,0,0,915.032,372.134,379.629,1063.772,0,0
,,933,20.78417024,131.556637,0,0,1.00234,0.997059,4.229109,0.0153,0,0,915.306,372.101,379.608,1063.769,0,0
,,934,20.78563962,131.780755,0,0,1.002214,0.989268,4.135511,0.0159,0,0,923.683,372.075,379.556,1063.693,0,0
,,935,20.78542613,131.079562,0,0,1.002972,0.99896,4.128131,0.0158,0,0,909.433,372.014,379.546,1063.715,0,0
,,936,20.7855703,131.002438,0,0,1.003222,0.992435,4.185497,0.0172,0,0,903.061,372.009,379.537,1063.703,0,0
,,937,20.78623291,131.362207,0,0,1.002958,0.994436,4.074528,0.0146,0,0,902.732,371.969,379.502,1063.724,0,0
,,938,20.78638261,132.304006,0,0,1.003026,1.001534,4.144853,0.0154,0,0,903.214,371.971,379.515,1063.704,0,0
,,939,20.78638261,132.282461,0,0,1.003245,0.992218,4.126033,0.0157,0,0,904.563,371.984,379.538,1063.716,0,0
,,940,20.78579486,132.340816,0,0,1.003797,0.993881,4.02122,0.0179,0,0,907.855,371.97,379.514,1063.753,0,0
,,941,20.78504784,132.657017,0,0,1.003856,0.998379,4.08932,0.0176,0,0,894.945,371.972,379.509,1063.794,0,0
,,942,20.78549781,132.846444,0,0,1.003332,0.994951,4.042362,0.0157,0,0,900.13,371.961,379.527,1063.779,0,0
,,943,20.78593903,131.658135,0,0,1.003894,0.992792,3.984736,0.0141,0,0,904.18,371.948,379.491,1063.762,0,0
,,944,20.78660164,130.237315,0,0,1.0043,1.001578,4.064836,0.0151,0,0,905.061,371.932,379.485,1063.774,0,0
,,945,20.78616359,130.938172,0,0,1.004863,0.994599,3.977829,0.0166,0,0,900.1,371.925,379.446,1063.811,0,0
,,946,20.78630776,131.389576,0,0,1.00513,0.99179,3.985202,0.0144,0,0,894.168,371.896,379.417,1063.799,0,0
,,947,20.78697036,131.578761,0,0,1.005395,1.004726,3.983981,0.0149,0,0,896.613,371.866,379.385,1063.762,0,0
,,948,20.7880017,131.660609,0,0,1.005499,0.991465,3.928059,0.0159,0,0,883.528,371.824,379.364,1063.758,0,0
,,949,20.78852491,132.371049,0,0,1.005348,0.997352,3.936587,0.0156,0,0,885.407,371.796,379.328,1063.783,0,0
,,950,20.78859498,132.63733,0,0,1.006739,1.005054,3.901093,0.0153,0,0,896.374,371.756,379.288,1063.763,0,0
,,951,20.78829633,132.004822,0,0,1.006069,0.994023,3.899168,0.0147,0,0,895.305,371.73,379.244,1063.744,0,0
,,952,20.7879312,132.269943,0,0,1.007004,0.996008,3.880975,0.0145,0,0,888.478,371.728,379.274,1063.718,0,0
,,953,20.78755887,131.965058,0,0,1.007228,1.001723,3.865113,0.0135,0,0,881.775,371.733,379.272,1063.701,0,0
,,954,20.78807891,131.853431,0,0,1.006704,0.99656,3.888694,0.0135,0,0,902.152,371.721,379.274,1063.671,0,0
,,955,20.78852491,131.666023,0,0,1.007651,0.999728,3.825864,0.0154,0,0,887.089,371.754,379.273,1063.668,0,0
,,956,20.78859498,131.268242,0,0,1.008342,1.006386,3.841279,0.0144,0,0,895.422,371.725,379.27,1063.678,0,0
,,957,20.78799767,131.854496,0,0,1.008241,0.993613,3.827954,0.0138,0,0,887.185,371.721,379.268,1063.693,0,0
,,958,20.78755775,131.870986,0,0,1.008731,0.997961,3.774678,0.0142,0,0,883.504,371.721,379.295,1063.655,0,0
,,959,20.78837396,132.799779,0,0,1.008809,1.005054,3.785407,0.016,0,0,904.501,371.699,379.255,1063.611,0,0
,,960,20.78918274,132.676926,0,0,1.008544,0.993557,3.772522,0.0171,0,0,879.041,371.667,379.21,1063.565,0,0
,,961,20.78992019,131.950683,0,0,1.009973,1.002012,3.714964,0.0151,0,0,882.404,371.643,379.174,1063.551,0,0
,,962,20.79036377,131.959202,0,0,1.009641,0.99969,3.765044,0.0138,0,0,871.71,371.628,379.118,1063.54,0,0
,,963,20.79014475,131.91734,0,0,1.009988,0.995684,3.745401,0.0154,0,0,894.626,371.596,379.128,1063.505,0,0
,,964,20.78977602,131.384759,0,0,1.010881,1.005181,3.671874,0.015,0,0,887.517,371.595,379.128,1063.495,0,0
,,965,20.78940251,131.722891,0,0,1.011424,1.003727,3.71485,0.0154,0,0,893.636,371.601,379.15,1063.415,0,0
,,966,20.7896275,131.862749,0,0,1.011253,1.002333,3.671404,0.0147,0,0,889.442,371.602,379.089,1063.405,0,0
,,967,20.79028892,131.381317,0,0,1.011396,1.002886,3.609307,0.0138,0,0,895.186,371.549,379.076,1063.405,0,0
,,968,20.79043863,131.745707,0,0,1.011724,1.010353,3.659408,0.0144,0,0,880.619,371.536,379.079,1063.417,0,0
,,969,20.79014475,131.314019,0,0,1.012576,0.996952,3.581862,0.014,0,0,891.164,371.526,379.08,1063.428,0,0
,,970,20.78977602,131.402734,0,0,1.013188,1.003239,3.559777,0.0169,0,0,892.068,371.512,379.078,1063.432,0,0
,,971,20.79117055,131.802695,0,0,1.013684,1.007157,3.596895,0.0127,0,0,892.175,371.541,379.109,1063.378,0,0
,,972,20.79183869,132.005671,0,0,1.014266,1.000639,3.525625,0.0146,0,0,882.17,371.543,379.077,1063.36,0,0
,,973,20.79220742,131.55558,0,0,1.014756,1.008403,3.505519,0.0163,0,0,900.877,371.547,379.1,1063.403,0,0
,,974,20.79228227,132.31271,0,0,1.015516,1.004632,3.562781,0.0138,0,0,904.906,371.575,379.113,1063.418,0,0
,,975,20.79168496,132.263117,0,0,1.016036,1.005752,3.455108,0.0135,0,0,909.11,371.555,379.106,1063.406,0,0
,,976,20.79124976,132.126542,0,0,1.01621,1.011714,3.51036,0.0147,0,0,904.711,371.523,379.087,1063.458,0,0
,,977,20.79147474,131.64265,0,0,1.01663,1.001133,3.516578,0.0155,0,0,896.459,371.531,379.098,1063.497,0,0
,,978,20.79154481,131.393056,0,0,1.016862,1.004777,3.409922,0.0147,0,0,906.231,371.566,379.12,1063.512,0,0
,,979,20.79213256,131.046954,0,0,1.017724,1.010366,3.463057,0.0149,0,0,897.484,371.545,379.087,1063.507,0,0
,,980,20.79228227,131.144887,0,0,1.01736,1.008505,3.483581,0.0137,0,0,905.412,371.533,379.071,1063.5,0,0
,,981,20.79345778,132.08957,0,0,1.017558,1.004455,3.355737,0.0161,0,0,900.171,371.477,378.989,1063.507,0,0
,,982,20.79346331,132.300153,0,0,1.018128,1.012235,3.463043,0.014,0,0,918.748,371.423,378.977,1063.53,0,0
,,983,20.79338845,132.005123,0,0,1.018648,1.011286,3.428454,0.0156,0,0,900.202,371.43,378.973,1063.565,0,0
,,984,20.79368351,132.287244,0,0,1.019802,1.004996,3.39057,0.0159,0,0,885.949,371.431,379.01,1063.585,0,0
,,985,20.79405106,132.636666,0,0,1.020228,1.018205,3.422756,0.0144,0,0,900.526,371.435,378.987,1063.586,0,0
,,986,20.79441979,132.126918,0,0,1.020774,1.012414,3.3854,0.0106,0,0,901.373,371.427,378.969,1063.603,0,0
,,987,20.79420076,132.360854,0,0,1.021041,1.00955,3.31459,0.0128,0,0,914.185,371.388,378.948,1063.607,0,0
,,988,20.79353816,132.10145,0,0,1.021007,1.018282,3.367415,0.0169,0,0,922.113,371.362,378.924,1063.601,0,0
,,989,20.79338845,131.76038,0,0,1.021908,1.012796,3.328815,0.0133,0,0,911.137,371.372,378.914,1063.601,0,0
,,990,20.79397621,132.28031,0,0,1.022119,1.006623,3.321835,0.0133,0,0,899.677,371.332,378.892,1063.607,0,0
,,991,20.79442457,132.319763,0,0,1.021997,1.016114,3.287703,0.0144,0,0,897.463,371.3,378.855,1063.614,0,0
,,992,20.79390453,132.166591,0,0,1.022223,1.015708,3.259565,0.0127,0,0,906.85,371.286,378.847,1063.605,0,0
,,993,20.79346331,131.722389,0,0,1.022585,1.006583,3.259339,0.013,0,0,901.337,371.249,378.83,1063.589,0,0
,,994,20.7928007,132.176665,0,0,1.021926,1.018374,3.233235,0.0156,0,0,896.533,371.23,378.817,1063.593,0,0
,,995,20.79470813,132.694396,0,0,1.022773,1.009539,3.229268,0.0157,0,0,922.612,371.256,378.834,1063.618,0,0
,,996,20.79581985,131.691629,0,0,1.023932,1.007048,3.253915,0.0141,0,0,924.595,371.236,378.811,1063.586,0,0
,,997,20.79596955,131.845514,0,0,1.023976,1.021149,3.208817,0.0138,0,0,936.241,371.209,378.771,1063.574,0,0
,,998,20.79626343,132.389948,0,0,1.023332,1.009218,3.217531,0.015,0,0,927.045,371.194,378.762,1063.587,0,0
,,999,20.79545665,131.012783,0,0,1.024513,1.015668,3.18042,0.0145,0,0,926.377,371.182,378.785,1063.543,0,0
,,1000,20.7952321,131.367239,0,0,1.024622,1.020305,3.149513,0.0127,0,0,924.453,371.166,378.747,1063.491,0,0
,,1001,20.79552597,132.298055,0,0,1.025414,1.011746,3.196869,0.0135,0,0,911.159,371.168,378.707,1063.484,0,0
,,1002,20.7958947,132.755369,0,0,1.026181,1.016734,3.1454,0.0148,0,0,913.017,371.111,378.676,1063.514,0,0
,,1003,20.79655731,132.811563,0,0,1.026046,1.021688,3.123342,0.0108,0,0,905.775,371.11,378.668,1063.486,0,0
,,1004,20.79611926,132.33675,0,0,1.025654,1.017835,3.134299,0.0149,0,0,916.416,371.119,378.65,1063.466,0,0
,,1005,20.79567568,132.828084,0,0,1.025802,1.014883,3.035513,0.0138,0,0,909.491,371.088,378.637,1063.468,0,0
,,1006,20.79501307,132.001193,0,0,1.026803,1.022613,3.083764,0.0143,0,0,916.443,371.059,378.602,1063.515,0,0
,,1007,20.795745,131.992277,0,0,1.02679,1.01165,3.080487,0.0152,0,0,919.923,371.027,378.566,1063.549,0,0
,,1008,20.79567568,132.167058,0,0,1.027116,1.016508,2.999773,0.0148,0,0,920.413,370.991,378.54,1063.545,0,0
,,1009,20.79619814,132.243717,0,0,1.027752,1.023312,3.059973,0.0116,0,0,922.086,370.977,378.529,1063.562,0,0
,,1010,20.79633828,132.369725,0,0,1.028201,1.013319,3.03876,0.0137,0,0,916.432,370.948,378.487,1063.577,0,0
,,1011,20.79723151,132.365938,0,0,1.028002,1.022682,2.95296,0.0166,0,0,908.47,370.933,378.477,1063.507,0,0
,,1012,20.79714603,132.155286,0,0,1.02819,1.018204,3.002395,0.0153,0,0,936.566,370.941,378.477,1063.484,0,0
,,1013,20.79766011,130.821517,0,0,1.028253,1.015048,2.973972,0.0154,0,0,915.149,370.902,378.431,1063.533,0,0
,,1014,20.79810369,131.643535,0,0,1.02908,1.027314,2.950087,0.0159,0,0,916.555,370.873,378.381,1063.56,0,0
,,1015,20.79788467,132.878276,0,0,1.02913,1.014382,2.993426,0.0143,0,0,916.647,370.862,378.377,1063.613,0,0
,,1016,20.79780981,131.940621,0,0,1.029322,1.019483,2.904707,0.0151,0,0,916.91,370.86,378.414,1063.644,0,0
,,1017,20.7972197,132.103143,0,0,1.029285,1.024753,2.898671,0.0112,0,0,913.757,370.841,378.373,1063.664,0,0
,,1018,20.79737101,131.919619,0,0,1.029869,1.016991,2.937297,0.0133,0,0,901.768,370.808,378.322,1063.674,0,0
,,1019,20.79744109,132.64098,0,0,1.030058,1.024686,2.861363,0.0134,0,0,912.187,370.736,378.249,1063.747,0,0
,,1020,20.79832625,132.271858,0,0,1.030807,1.021366,2.914849,0.0135,0,0,912.381,370.731,378.279,1063.767,0,0
,,1021,20.7982534,132.407614,0,0,1.03106,1.017768,2.876726,0.0149,0,0,910.949,370.77,378.279,1063.779,0,0
,,1022,20.79788467,132.121864,0,0,1.031514,1.021407,2.80182,0.0153,0,0,904.934,370.757,378.27,1063.78,0,0
,,1023,20.79693088,131.87685,0,0,1.031556,1.021814,2.846533,0.0141,0,0,911.923,370.757,378.267,1063.812,0,0
,,1024,20.79729207,132.931725,0,0,1.031286,1.017666,2.785076,0.0168,0,0,901.618,370.729,378.244,1063.811,0,0
,,1025,20.79744109,132.502118,0,0,1.032049,1.025054,2.763392,0.0148,0,0,899.402,370.715,378.225,1063.831,0,0
,,1026,20.79773974,132.319614,0,0,1.032493,1.020901,2.800559,0.0124,0,0,910.229,370.69,378.206,1063.818,0,0
,,1027,20.79810487,132.120218,0,0,1.03211,1.018314,2.723335,0.013,0,0,906.825,370.644,378.167,1063.79,0,0
,,1028,20.79758123,132.261067,0,0,1.032467,1.027927,2.75342,0.0143,0,0,903.314,370.634,378.156,1063.803,0,0
,,1029,20.79744109,132.589818,0,0,1.032761,1.020033,2.759101,0.014,0,0,907.891,370.624,378.111,1063.821,0,0
,,1030,20.79744109,133.107772,0,0,1.033405,1.021905,2.694373,0.0127,0,0,902.892,370.569,378.047,1063.834,0,0
,,1031,20.79773496,132.813398,0,0,1.032845,1.027455,2.68256,0.0155,0,0,911.106,370.502,377.998,1063.859,0,0
,,1032,20.79810369,132.395606,0,0,1.033582,1.018189,2.709662,0.0155,0,0,912.013,370.527,378.012,1063.828,0,0
,,1033,20.79817854,132.327694,0,0,1.033058,1.027925,2.639944,0.0142,0,0,909.037,370.539,378.054,1063.762,0,0
,,1034,20.79759079,132.421739,0,0,1.033485,1.025329,2.664856,0.0139,0,0,909.288,370.553,378.071,1063.682,0,0
,,1035,20.79685603,132.201828,0,0,1.034217,1.020768,2.642034,0.013,0,0,902.888,370.568,378.115,1063.684,0,0
,,1036,20.79758595,131.628677,0,0,1.034088,1.030817,2.610737,0.0124,0,0,913.609,370.571,378.113,1063.602,0,0
,,1037,20.79780981,131.959913,0,0,1.033168,1.018982,2.652748,0.0135,0,0,903.067,370.593,378.142,1063.574,0,0
,,1038,20.79839757,132.846533,0,0,1.033204,1.019686,2.583452,0.0122,0,0,903.909,370.598,378.108,1063.564,0,0
,,1039,20.7982534,133.371688,0,0,1.033843,1.027226,2.566969,0.0137,0,0,898.921,370.544,378.084,1063.544,0,0
,,1040,20.79788467,132.845092,0,0,1.034425,1.02134,2.601322,0.0134,0,0,909.999,370.536,378.054,1063.559,0,0
,,1041,20.79693088,133.315174,0,0,1.034192,1.024511,2.509564,0.0155,0,0,915.884,370.464,378.001,1063.503,0,0
,,1042,20.79876145,132.458218,0,0,1.033622,1.024038,2.54972,0.0139,0,0,905.657,370.444,377.96,1063.489,0,0
,,1043,20.80016636,132.838321,0,0,1.034027,1.02226,2.518254,0.0124,0,0,919.124,370.412,377.96,1063.468,0,0
,,1044,20.80009704,132.866135,0,0,1.035104,1.028115,2.47655,0.0146,0,0,913.088,370.421,377.954,1063.423,0,0
,,1045,20.80002219,132.104912,0,0,1.034838,1.025932,2.51981,0.0153,0,0,916.932,370.431,377.973,1063.381,0,0
,,1046,20.79943443,132.342431,0,0,1.034755,1.023426,2.464067,0.0133,0,0,913.873,370.438,377.978,1063.375,0,0
,,1047,20.79899085,132.54107,0,0,1.035181,1.026792,2.431647,0.0135,0,0,911.284,370.422,377.949,1063.366,0,0
,,1048,20.79950375,133.257109,0,0,1.034872,1.03173,2.488411,0.0142,0,0,910.929,370.417,377.939,1063.367,0,0
,,1049,20.80024121,132.993421,0,0,1.03525,1.021465,2.457774,0.0141,0,0,901.764,370.429,377.952,1063.345,0,0
,,1050,20.79980316,132.980877,0,0,1.03512,1.029429,2.396139,0.0138,0,0,894.635,370.405,377.946,1063.321,0,0
,,1051,20.79995211,132.699183,0,0,1.035406,1.02702,2.432409,0.0142,0,0,903.151,370.392,377.914,1063.373,0,0
,,1052,20.79943208,132.817079,0,0,1.035765,1.021144,2.364681,0.0122,0,0,903.09,370.384,377.894,1063.42,0,0
,,1053,20.79928473,132.821588,0,0,1.03518,1.031892,2.390412,0.0102,0,0,908.743,370.36,377.853,1063.521,0,0
,,1054,20.79928473,131.658779,0,0,1.035419,1.020476,2.419505,0.0122,0,0,903.957,370.331,377.857,1063.598,0,0
,,1055,20.79987248,131.586567,0,0,1.035172,1.02312,2.323019,0.0136,0,0,892.799,370.339,377.842,1063.644,0,0
,,1056,20.80031606,132.046973,0,0,1.035544,1.030005,2.356982,0.0145,0,0,899.978,370.306,377.82,1063.662,0,0
,,1057,20.79950928,132.741829,0,0,1.035224,1.021405,2.361104,0.012,0,0,908.874,370.317,377.809,1063.675,0,0
,,1058,20.79928473,132.848904,0,0,1.035504,1.02661,2.256769,0.0116,0,0,915.931,370.27,377.778,1063.693,0,0
,,1059,20.79928473,132.67677,0,0,1.034845,1.024601,2.326453,0.012,0,0,906.636,370.244,377.747,1063.644,0,0
,,1060,20.79957861,132.584596,0,0,1.034445,1.022039,2.285529,0.013,0,0,911.009,370.212,377.712,1063.635,0,0
,,1061,20.80053509,132.686929,0,0,1.035174,1.028501,2.221991,0.0133,0,0,921.32,370.183,377.698,1063.626,0,0
,,1062,20.79987801,132.749273,0,0,1.034752,1.026708,2.308993,0.0154,0,0,903.535,370.203,377.706,1063.593,0,0
,,1063,20.79994733,132.348064,0,0,1.034916,1.023817,2.212215,0.0137,0,0,912.389,370.22,377.711,1063.541,0,0
,,1064,20.79943443,132.639951,0,0,1.034722,1.026848,2.19991,0.0116,0,0,900.959,370.201,377.676,1063.553,0,0
,,1065,20.79899085,132.467225,0,0,1.034629,1.026423,2.257151,0.014,0,0,904.009,370.201,377.665,1063.586,0,0
,,1066,20.79920988,131.537456,0,0,1.034761,1.0252,2.136163,0.0144,0,0,899.345,370.158,377.618,1063.557,0,0
,,1067,20.80016636,132.081297,0,0,1.034888,1.031167,2.182979,0.0112,0,0,905.978,370.134,377.608,1063.535,0,0
,,1068,20.80009704,132.281107,0,0,1.033487,1.026994,2.201913,0.013,0,0,905.606,370.11,377.586,1063.505,0,0
,,1069,20.79972831,131.959765,0,0,1.03386,1.024203,2.099545,0.0145,0,0,909.873,370.1,377.582,1063.483,0,0
,,1070,20.7990657,132.203736,0,0,1.034116,1.029836,2.186606,0.0132,0,0,914.354,370.081,377.561,1063.484,0,0
,,1071,20.79950375,132.072226,0,0,1.034064,1.018974,2.12412,0.0138,0,0,907.734,370.071,377.556,1063.44,0,0
,,1072,20.79994733,131.801951,0,0,1.034299,1.025549,2.062913,0.0136,0,0,897.753,370.06,377.55,1063.471,0,0
,,1073,20.80002219,131.737761,0,0,1.033973,1.0267,2.146225,0.015,0,0,892.951,370.057,377.582,1063.437,0,0
,,1074,20.79972831,132.149467,0,0,1.03392,1.019727,2.048779,0.0123,0,0,889.29,370.07,377.585,1063.418,0,0
,,1075,20.79965346,132.837927,0,0,1.033311,1.030422,2.063991,0.0123,0,0,898.336,370.044,377.561,1063.437,0,0
,,1076,20.7990657,134.054213,0,0,1.033659,1.020088,2.100033,0.0126,0,0,893.767,370.028,377.539,1063.423,0,0
,,1077,20.79920988,133.365858,0,0,1.033006,1.020631,1.986376,0.0139,0,0,879.112,370.028,377.529,1063.431,0,0
,,1078,20.79957861,132.424962,0,0,1.033014,1.028943,2.055654,0.016,0,0,891.557,370.037,377.559,1063.42,0,0
,,1079,20.79994733,133.188369,0,0,1.032791,1.019525,2.0397,0.0139,0,0,891.315,370.062,377.586,1063.411,0,0
,,1080,20.79972831,133.400171,0,0,1.032928,1.021737,1.945566,0.0133,0,0,901.449,370.072,377.599,1063.408,0,0
,,1081,20.79965346,132.937474,0,0,1.033026,1.025686,2.027064,0.0118,0,0,900.96,370.069,377.593,1063.402,0,0
,,1082,20.80082896,132.806662,0,0,1.033107,1.024814,1.941928,0.0117,0,0,896.85,370.081,377.593,1063.421,0,0
,,1083,20.80171613,132.401535,0,0,1.031976,1.02265,1.907177,0.0143,0,0,888.542,370.094,377.587,1063.38,0,0
,,1084,20.80157195,132.050382,0,0,1.032786,1.027286,1.983597,0.0125,0,0,897.038,370.075,377.611,1063.332,0,0
,,1085,20.8014971,131.992474,0,0,1.032263,1.021726,1.90282,0.0134,0,0,885.163,370.083,377.619,1063.312,0,0
,,1086,20.80179098,132.50717,0,0,1.032127,1.018431,1.905761,0.0129,0,0,898.227,370.069,377.628,1063.343,0,0
,,1087,20.8009842,132.583319,0,0,1.031731,1.027547,1.93223,0.0129,0,0,892.118,370.057,377.613,1063.356,0,0
,,1088,20.80105352,132.998935,0,0,1.031281,1.01449,1.831342,0.0131,0,0,890.851,370.069,377.645,1063.359,0,0
,,1089,20.80142225,132.742333,0,0,1.031331,1.021161,1.868806,0.0142,0,0,884.277,370.073,377.628,1063.361,0,0
,,1090,20.8014971,132.484305,0,0,1.032262,1.027403,1.856635,0.0127,0,0,902.19,370.033,377.62,1063.389,0,0
,,1091,20.80237873,131.942423,0,0,1.032031,1.01371,1.81566,0.0148,0,0,899.739,370.055,377.634,1063.394,0,0
,,1092,20.80172166,132.549847,0,0,1.031661,1.025693,1.871055,0.0144,0,0,898.346,370.058,377.655,1063.351,0,0
,,1093,20.80120322,132.700941,0,0,1.031275,1.01974,1.823372,0.0119,0,0,899.265,370.057,377.659,1063.334,0,0
,,1094,20.80112837,133.02068,0,0,1.030619,1.017205,1.789166,0.0134,0,0,891.188,370.053,377.642,1063.318,0,0
,,1095,20.80171613,132.300008,0,0,1.030266,1.027599,1.814458,0.0139,0,0,896.455,370.025,377.617,1063.284,0,0
,,1096,20.80215971,132.71759,0,0,1.030236,1.015873,1.743159,0.0116,0,0,900.712,370.008,377.559,1063.281,0,0
,,1097,20.80370394,132.231343,0,0,1.030587,1.021057,1.750783,0.0149,0,0,899.244,369.987,377.573,1063.292,0,0
,,1098,20.80378432,132.267964,0,0,1.030031,1.02154,1.754432,0.0145,0,0,896.268,369.972,377.544,1063.34,0,0
,,1099,20.80312172,132.851644,0,0,1.030028,1.018657,1.726267,0.0134,0,0,901.563,369.936,377.498,1063.365,0,0
,,1100,20.80326589,132.555014,0,0,1.029885,1.017374,1.699267,0.0127,0,0,896.213,369.936,377.45,1063.31,0,0
,,1101,20.80363462,133.491761,0,0,1.029861,1.024945,1.724019,0.0138,0,0,900.804,369.894,377.45,1063.295,0,0
,,1102,20.80400335,133.083047,0,0,1.02989,1.020503,1.675324,0.0146,0,0,893.513,369.896,377.468,1063.331,0,0
,,1103,20.80349045,132.919616,0,0,1.030011,1.017985,1.669515,0.0152,0,0,895.041,369.87,377.462,1063.323,0,0
